Date,시가,고가,저가,종가,거래량,변동률
2022-03-21,"52,800원","53,000원","50,200원","50,500원","1,389,894건",-4.36%
2022-03-22,"50,300원","51,200원","49,900원","50,900원","764,010건",0.79%
2022-03-23,"51,200원","52,300원","51,100원","52,300원","1,190,716건",2.75%
2022-03-24,"51,600원","52,100원","50,700원","51,400원","728,320건",-1.72%
2022-03-25,"51,500원","51,800원","51,000원","51,000원","510,880건",-0.78%
2022-03-28,"51,000원","51,000원","49,800원","50,000원","795,384건",-1.96%
2022-03-29,"50,100원","50,300원","48,800원","49,750원","854,459건",-0.50%
2022-03-30,"50,100원","50,300원","49,800원","50,300원","630,088건",1.11%
2022-03-31,"50,300원","52,000원","50,000원","51,600원","1,458,343건",2.58%
2022-04-01,"51,600원","51,700원","50,200원","50,900원","909,935건",-1.36%
2022-04-04,"51,000원","51,100원","50,300원","50,800원","506,591건",-0.20%
2022-04-05,"51,000원","51,100원","49,800원","49,800원","1,143,188건",-1.97%
2022-04-06,"49,500원","49,550원","48,300원","48,350원","1,560,643건",-2.91%
2022-04-07,"47,900원","47,900원","46,200원","46,200원","1,427,208건",-4.45%
2022-04-08,"46,500원","47,100원","45,350원","46,100원","1,061,127건",-0.22%
2022-04-11,"45,850원","47,100원","45,350원","45,350원","1,053,938건",-1.63%
2022-04-12,"45,050원","46,000원","44,900원","45,300원","893,701건",-0.11%
2022-04-13,"45,400원","46,900원","45,150원","46,850원","796,378건",3.42%
2022-04-14,"46,850원","46,900원","46,050원","46,700원","762,627건",-0.32%
2022-04-15,"46,150원","46,800원","45,600원","46,200원","566,334건",-1.07%
2022-04-18,"45,800원","45,800원","45,350원","45,400원","606,716건",-1.73%
2022-04-19,"45,600원","46,200원","45,550원","45,600원","481,474건",0.44%
2022-04-20,"45,700원","45,700원","45,050원","45,150원","869,238건",-0.99%
2022-04-21,"45,550원","45,600원","45,000원","45,050원","618,728건",-0.22%
2022-04-22,"45,000원","45,050원","43,500원","43,600원","1,718,671건",-3.22%
2022-04-25,"42,600원","42,900원","42,200원","42,450원","1,198,617건",-2.64%
2022-04-26,"42,800원","43,800원","42,700원","43,250원","1,091,442건",1.88%
2022-04-27,"41,750원","42,650원","41,700원","42,250원","864,720건",-2.31%
2022-04-28,"42,450원","42,950원","41,900원","42,950원","702,336건",1.66%
2022-04-29,"42,900원","42,950원","42,200원","42,350원","1,111,677건",-1.40%
2022-05-02,"42,200원","42,250원","41,000원","41,100원","1,273,319건",-2.95%
2022-05-03,"41,400원","41,750원","41,100원","41,250원","1,368,156건",0.36%
2022-05-04,"41,300원","41,800원","41,050원","41,450원","1,283,809건",0.48%
2022-05-06,"41,100원","41,100원","39,950원","40,100원","2,241,683건",-3.26%
2022-05-09,"39,850원","41,150원","39,850원","40,900원","1,182,506건",2.00%
2022-05-10,"40,100원","40,200원","39,400원","40,050원","1,267,511건",-2.08%
2022-05-11,"39,900원","40,300원","39,600원","40,100원","957,524건",0.12%
2022-05-12,"39,500원","39,600원","37,550원","37,950원","2,795,518건",-5.36%
2022-05-13,"37,850원","38,550원","37,100원","38,450원","1,708,351건",1.32%
2022-05-16,"38,500원","39,750원","38,450원","38,850원","1,189,121건",1.04%
2022-05-17,"38,450원","40,250원","38,450원","40,000원","1,152,307건",2.96%
2022-05-18,"40,150원","40,300원","39,300원","39,400원","726,873건",-1.50%
2022-05-19,"38,400원","38,750원","38,000원","38,650원","1,023,492건",-1.90%
2022-05-20,"38,650원","40,100원","38,650원","39,950원","851,181건",3.36%
2022-05-23,"40,200원","40,500원","39,850원","40,000원","647,955건",0.13%
2022-05-24,"40,050원","40,200원","39,400원","39,400원","661,541건",-1.50%
2022-05-25,"39,950원","41,150원","39,750원","40,150원","1,736,547건",1.90%
2022-05-26,"40,150원","41,400원","40,050원","40,650원","1,303,023건",1.25%
2022-05-27,"41,100원","41,400원","40,450원","41,250원","1,016,331건",1.48%
2022-05-30,"41,500원","41,750원","40,800원","41,300원","914,296건",0.12%
2022-05-31,"41,500원","41,500원","40,000원","40,650원","3,768,851건",-1.57%
2022-06-02,"40,300원","40,500원","39,800원","39,850원","1,117,195건",-1.97%
2022-06-03,"40,300원","41,300원","40,150원","41,150원","1,406,396건",3.26%
2022-06-07,"41,100원","41,900원","40,700원","41,500원","1,678,530건",0.85%
2022-06-08,"41,500원","41,500원","39,600원","40,400원","2,070,212건",-2.65%
2022-06-09,"40,200원","42,300원","39,950원","41,050원","6,994,591건",1.61%
2022-06-10,"40,700원","40,750원","39,100원","39,150원","3,297,078건",-4.63%
2022-06-13,"38,300원","38,350원","36,000원","36,000원","3,679,924건",-8.05%
2022-06-14,"35,050원","35,750원","34,600원","35,350원","2,443,473건",-1.81%
2022-06-15,"35,150원","36,050원","35,000원","35,800원","1,589,703건",1.27%
2022-06-16,"36,450원","37,700원","36,200원","36,450원","1,921,845건",1.82%
2022-06-17,"35,700원","36,150원","35,400원","36,150원","2,210,132건",-0.82%
2022-06-20,"36,300원","36,350원","35,050원","35,600원","1,304,530건",-1.52%
2022-06-21,"36,400원","36,400원","35,650원","36,100원","1,054,363건",1.40%
2022-06-22,"36,200원","36,450원","34,000원","34,000원","1,864,627건",-5.82%
2022-06-23,"34,050원","34,600원","32,950원","33,750원","1,841,487건",-0.74%
2022-06-24,"33,750원","35,100원","33,700원","34,800원","1,340,546건",3.11%
2022-06-27,"35,000원","35,150원","34,000원","34,550원","1,250,644건",-0.72%
2022-06-28,"34,700원","34,850원","33,600원","33,750원","1,395,917건",-2.32%
2022-06-29,"32,550원","32,800원","30,650원","31,100원","4,292,024건",-7.85%
2022-06-30,"31,000원","31,200원","30,100원","30,250원","2,230,180건",-2.73%
2022-07-01,"30,400원","30,500원","28,600원","28,950원","2,655,063건",-4.30%
2022-07-04,"29,050원","29,800원","28,750원","29,450원","1,640,600건",1.73%
2022-07-05,"29,550원","30,750원","29,500원","30,600원","1,600,485건",3.90%
2022-07-06,"30,250원","31,800원","29,850원","31,300원","2,551,934건",2.29%
2022-07-07,"31,750원","31,950원","31,300원","31,750원","780,061건",1.44%
2022-07-08,"31,950원","32,000원","31,200원","31,300원","845,872건",-1.42%
2022-07-11,"31,350원","31,650원","31,100원","31,200원","537,764건",-0.32%
2022-07-12,"31,000원","31,000원","29,750원","30,000원","1,307,531건",-3.85%
2022-07-13,"30,350원","31,600원","30,150원","31,600원","1,340,853건",5.33%
2022-07-14,"31,000원","31,650원","30,300원","30,900원","1,255,512건",-2.22%
2022-07-15,"30,950원","31,000원","29,750원","29,900원","1,227,196건",-3.24%
2022-07-18,"30,350원","30,900원","30,100원","30,600원","959,544건",2.34%
2022-07-19,"30,550원","30,600원","30,300원","30,600원","530,432건",0.00%
2022-07-20,"31,200원","31,450원","30,750원","30,850원","830,978건",0.82%
2022-07-21,"30,850원","31,550원","30,650원","31,300원","843,077건",1.46%
2022-07-22,"31,300원","31,450원","30,600원","30,900원","905,350건",-1.28%
2022-07-25,"30,700원","30,750원","30,100원","30,450원","1,024,850건",-1.46%
2022-07-26,"30,400원","30,500원","30,000원","30,050원","775,675건",-1.31%
2022-07-27,"30,000원","30,050원","29,800원","29,900원","2,156,271건",-0.50%
2022-07-28,"30,300원","30,800원","29,900원","30,050원","1,236,983건",0.50%
2022-07-29,"30,100원","31,650원","30,100원","30,900원","2,320,623건",2.83%
2022-08-01,"31,000원","31,350원","30,800원","30,800원","710,808건",-0.32%
2022-08-02,"30,750원","30,850원","30,300원","30,350원","703,411건",-1.46%
2022-08-03,"30,650원","31,400원","30,500원","31,400원","1,910,282건",3.46%
2022-08-04,"31,650원","33,400원","31,150원","32,900원","4,508,880건",4.78%
2022-08-05,"33,000원","33,000원","31,950원","32,300원","1,537,284건",-1.82%
2022-08-08,"32,200원","32,500원","31,500원","32,000원","1,008,583건",-0.93%
2022-08-09,"31,750원","33,350원","31,750원","33,200원","1,703,261건",3.75%
2022-08-10,"32,950원","33,000원","31,500원","31,550원","1,726,192건",-4.97%
2022-08-11,"32,150원","33,200원","32,050원","33,150원","2,097,603건",5.07%
2022-08-12,"32,800원","33,500원","32,750원","32,950원","965,590건",-0.60%
2022-08-16,"33,300원","33,300원","32,300원","32,400원","1,088,816건",-1.67%
2022-08-17,"32,850원","33,100원","32,400원","32,400원","674,516건",0.00%
2022-08-18,"32,000원","32,300원","31,100원","31,200원","1,501,362건",-3.70%
2022-08-19,"29,500원","30,100원","27,150원","28,650원","29,537,451건",-8.17%
2022-08-22,"28,650원","28,800원","27,900원","28,050원","3,505,072건",-2.09%
2022-08-23,"27,550원","28,300원","27,500원","27,800원","2,421,829건",-0.89%
2022-08-24,"28,000원","28,400원","27,550원","28,300원","2,411,714건",1.80%
2022-08-25,"28,400원","28,600원","28,200원","28,300원","1,713,316건",0.00%
2022-08-26,"28,400원","28,600원","28,050원","28,100원","1,271,311건",-0.71%
2022-08-29,"27,200원","27,350원","26,900원","26,950원","2,467,445건",-4.09%
2022-08-30,"27,100원","27,450원","27,100원","27,300원","1,262,354건",1.30%
2022-08-31,"27,100원","27,400원","26,950원","27,300원","1,599,488건",0.00%
2022-09-01,"27,100원","27,150원","26,000원","26,100원","3,236,747건",-4.40%
2022-09-02,"26,400원","26,600원","25,700원","25,850원","1,734,680건",-0.96%
2022-09-05,"25,600원","26,100원","25,400원","25,600원","1,578,530건",-0.97%
2022-09-06,"25,600원","25,850원","25,300원","25,600원","1,131,133건",0.00%
2022-09-07,"25,400원","25,450원","24,800원","24,850원","1,562,561건",-2.93%
2022-09-08,"25,150원","25,350원","24,850원","25,000원","1,695,455건",0.60%
2022-09-13,"25,500원","26,950원","25,500원","26,800원","3,069,085건",7.20%
2022-09-14,"25,850원","26,350원","25,400원","26,250원","2,203,749건",-2.05%
2022-09-15,"26,300원","26,500원","25,600원","25,600원","1,120,056건",-2.48%
2022-09-16,"25,500원","25,500원","24,800원","25,250원","1,964,019건",-1.37%
2022-09-19,"25,250원","25,350원","24,900원","25,000원","1,138,066건",-0.99%
2022-09-20,"25,300원","25,700원","25,050원","25,250원","1,131,063건",1.00%
2022-09-21,"25,000원","25,250원","24,300원","25,050원","1,450,014건",-0.79%
2022-09-22,"24,550원","24,700원","23,850원","24,050원","1,861,186건",-3.99%
2022-09-23,"23,950원","24,050원","23,300원","23,450원","1,661,681건",-2.49%
2022-09-26,"22,850원","22,950원","21,800원","21,800원","3,982,222건",-7.04%
2022-09-27,"21,750원","22,000원","20,950원","21,500원","3,172,907건",-1.38%
2022-09-28,"21,250원","22,350원","21,250원","21,900원","3,269,289건",1.86%
2022-09-29,"22,050원","22,250원","20,450원","20,600원","3,270,904건",-5.94%
2022-09-30,"20,500원","20,550원","19,650원","20,050원","3,572,107건",-2.67%
2022-10-04,"20,400원","20,800원","20,250원","20,350원","2,381,731건",1.50%
2022-10-05,"20,650원","21,600원","19,900원","20,000원","3,706,917건",-1.72%
2022-10-06,"20,300원","20,650원","20,100원","20,250원","1,281,487건",1.25%
2022-10-07,"19,800원","19,900원","18,350원","18,350원","6,342,105건",-9.38%
2022-10-11,"18,100원","18,550원","17,650원","17,800원","3,147,167건",-3.00%
2022-10-12,"17,700원","17,800원","17,050원","17,750원","3,511,517건",-0.28%
2022-10-13,"17,350원","17,500원","16,500원","16,550원","4,515,245건",-6.76%
2022-10-14,"17,250원","17,950원","17,100원","17,500원","5,452,407건",5.74%
2022-10-17,"16,550원","16,700원","15,950원","16,600원","6,227,448건",-5.14%
2022-10-18,"17,000원","17,500원","16,900원","17,200원","3,062,046건",3.61%
2022-10-19,"17,350원","18,200원","17,350원","17,400원","3,804,967건",1.16%
2022-10-20,"17,450원","17,650원","16,550원","16,850원","3,722,302건",-3.16%
2022-10-21,"16,700원","17,150원","16,500원","16,750원","1,838,153건",-0.59%
2022-10-24,"17,200원","17,450원","16,600원","16,750원","2,174,318건",0.00%
2022-10-25,"16,700원","16,950원","16,300원","16,350원","1,950,396건",-2.39%
2022-10-26,"16,400원","16,550원","15,900원","15,950원","2,635,020건",-2.45%
2022-10-27,"16,050원","16,450원","16,000원","16,250원","1,914,446건",1.88%
2022-10-28,"16,150원","16,300원","15,800원","15,850원","3,015,918건",-2.46%
2022-10-31,"16,150원","17,100원","16,100원","17,100원","3,901,609건",7.89%
2022-11-01,"17,000원","17,650원","16,850원","17,300원","2,557,884건",1.17%
2022-11-02,"17,650원","20,500원","17,650원","20,250원","25,181,000건",17.05%
2022-11-03,"19,600원","20,400원","18,800원","19,850원","8,661,506건",-1.98%
2022-11-04,"19,900원","21,800원","19,900원","20,950원","11,576,493건",5.54%
2022-11-07,"21,150원","21,150원","20,300원","20,500원","3,558,867건",-2.15%
2022-11-08,"20,700원","21,950원","20,650원","21,650원","5,516,901건",5.61%
2022-11-09,"22,000원","23,650원","21,950원","23,200원","10,376,460건",7.16%
2022-11-10,"22,550원","23,600원","22,300원","22,950원","4,964,575건",-1.08%
2022-11-11,"25,250원","29,400원","25,050원","27,600원","32,689,166건",20.26%
2022-11-14,"28,050원","30,250원","27,600원","27,900원","18,426,232건",1.09%
2022-11-15,"28,350원","29,050원","27,650원","28,700원","7,731,617건",2.87%
2022-11-16,"29,300원","29,400원","28,200원","28,300원","7,234,826건",-1.39%
